isbn,authors,original_publication_year,original_title,average_rating,image_url
439023483,Suzanne Collins,2008,The Hunger Games,4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg
439554934,J.K. Rowling,1997,Harry Potter and the Philosopher's Stone,4.44,https://images.gr-assets.com/books/1474154022m/3.jpg
316015849,Stephenie Meyer,2005,Twilight,3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg
61120081,Harper Lee,1960,To Kill a Mockingbird,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg
743273567,F. Scott Fitzgerald,1925,The Great Gatsby,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg
525478817,John Green,2012,The Fault in Our Stars,4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg
618260307,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg
316769177,J.D. Salinger,1951,The Catcher in the Rye,3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg
1416524797,Dan Brown,2000,Angels & Demons ,3.85,https://images.gr-assets.com/books/1303390735m/960.jpg
679783261,Jane Austen,1813,Pride and Prejudice,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg
1594480001,Khaled Hosseini,2003,The Kite Runner ,4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg
62024035,Veronica Roth,2011,Divergent,4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg
451524934,George Orwell,1949,Nineteen Eighty-Four,4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg
452284244,George Orwell,1945,Animal Farm: A Fairy Story,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg
553296981,Anne Frank,1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg
307269752,Stieg Larsson,2005,Män som hatar kvinnor,4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg
439023491,Suzanne Collins,2009,Catching Fire,4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg
043965548X,J.K. Rowling,1999,Harry Potter and the Prisoner of Azkaban,4.53,https://images.gr-assets.com/books/1499277281m/5.jpg
618346252,J.R.R. Tolkien,1954, The Fellowship of the Ring,4.34,https://images.gr-assets.com/books/1298411339m/34.jpg
439023513,Suzanne Collins,2010,Mockingjay,4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg
439358078,J.K. Rowling,2003,Harry Potter and the Order of the Phoenix,4.46,https://images.gr-assets.com/books/1387141547m/2.jpg
316166685,Alice Sebold,2002,The Lovely Bones,3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg
439064864,J.K. Rowling,1998,Harry Potter and the Chamber of Secrets,4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg
439139600,J.K. Rowling,2000,Harry Potter and the Goblet of Fire,4.53,https://images.gr-assets.com/books/1361482611m/6.jpg
545010225,J.K. Rowling,2007,Harry Potter and the Deathly Hallows,4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg
307277674,Dan Brown,2003,The Da Vinci Code,3.79,https://images.gr-assets.com/books/1303252999m/968.jpg
439785960,J.K. Rowling,2005,Harry Potter and the Half-Blood Prince,4.54,https://images.gr-assets.com/books/1361039191m/1.jpg
140283331,William Golding,1954,Lord of the Flies ,3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg
743477111,William Shakespeare,1595,An Excellent conceited Tragedie of Romeo and Juliet,3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg
297859382,Gillian Flynn,2012,Gone Girl,4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg
399155341,Kathryn Stockett,2009,The Help,4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg
142000671,John Steinbeck,1937,Of Mice and Men ,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg
739326228,Arthur Golden,1997,Memoirs of a Geisha,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1612130291,E.L. James,2011,Fifty Shades of Grey,3.67,https://images.gr-assets.com/books/1385207843m/10818853.jpg
61122416,Paulo Coelho,1988,O Alquimista,3.82,https://images.gr-assets.com/books/1483412266m/865.jpg
385732554,Lois Lowry,1993,The Giver,4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg
60764899,C.S. Lewis,1950,The Lion, the Witch and the Wardrobe,4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg
965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg
553588486,George R.R. Martin,1996,A Game of Thrones,4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg
143038419,Elizabeth Gilbert,2006,Eat, pray, love: one woman's search for everything across Italy, India and Indonesia,3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg
786838655,Rick Riordan,2005,The Lightning Thief,4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg
451529308,Louisa May Alcott,1868,Little Women,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
142437204,Charlotte Bronta,1847,Jane Eyre,4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg
553816713,Nicholas Sparks,1996,The Notebook,4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg
770430074,Yann Martel,2001,Life of Pi,3.88,https://images.gr-assets.com/books/1320562005m/4214.jpg
1565125606,Sara Gruen,2006,Water for Elephants,4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg
375831002,Markus Zusak,2005,The Book Thief,4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg
307347974,Ray Bradbury,1953,Fahrenheit 451,3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg
316160199,Stephenie Meyer,2006,New Moon (Twilight, #2),3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg
60513039,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg
1416914285,Cassandra Clare,2007,City of Bones,4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg
316160202,Stephenie Meyer,2007,Eclipse,3.69,https://images.gr-assets.com/books/1361038355m/428263.jpg
375826696,Christopher Paolini,2002,Eragon,3.86,https://images.gr-assets.com/books/1366212852m/113436.jpg
345391802,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,4.2,https://images.gr-assets.com/books/1327656754m/11.jpg
60929871,Aldous Huxley,1932,Brave New World,3.97,https://images.gr-assets.com/books/1487389574m/5129.jpg
031606792X,Stephenie Meyer,2008,Breaking Dawn,3.7,https://images.gr-assets.com/books/1361039438m/1162543.jpg
